Country_name,date,Total_new_deceased
Finland,2022-03-23,50
Finland,2022-03-07,40
Finland,2022-03-06,35
Finland,2022-04-05,34
Finland,2022-02-16,30
Finland,2022-03-08,30
Finland,2022-02-01,29
Finland,2022-04-13,29
Finland,2022-03-02,28
Finland,2022-01-30,26
Finland,2022-02-17,26
Finland,2022-02-20,26
Finland,2022-02-22,26
Finland,2022-02-28,26
Finland,2022-03-09,26
Finland,2022-03-16,26
Finland,2022-02-21,25
Finland,2022-03-01,25
Finland,2022-02-23,24
Finland,2022-03-29,24
Finland,2022-01-03,23
Finland,2022-02-02,23
Finland,2022-02-09,23
Finland,2022-02-04,22
Finland,2022-02-13,22
Finland,2022-01-25,21
Finland,2022-01-26,21
Finland,2022-02-14,21
