Country_name,max_confirmed_cases
Albania,2177
Argentina,174174
Armenia,3127
Aruba,3
Australia,150702
Austria,63512
Azerbaijan,7050
Bahamas,159
Bahrain,8064
Bangladesh,16230
Barbados,220
Belarus,1997
Belgium,76034
Belize,24
Bermuda,0
Bhutan,312
Bolivia,23611
Bosnia and Herzegovina,1343
Brazil,115228
Bulgaria,9874
Burkina Faso,0
Cambodia,1130
Canada,8215
Cape Verde,1005
Chile,38446
Colombia,38872
Costa Rica,11369
Croatia,11812
Cuba,3519
Curaçao,0
Cyprus,3515
Czech Republic,57247
Denmark,55120
Djibouti,0
Dominica,20
Dominican Republic,2721
East Timor,278
Ecuador,11090
El Salvador,12677
Equatorial Guinea,0
Estonia,8467
Ethiopia,2095
Faroe Islands,533
Fiji,1100
Finland,136804
France,501635
Gabon,0
Georgia,25161
Ghana,238
Greece,50182
Guatemala,8814
Haiti,8
Hungary,20174
Iceland,2886
India,414188
Indonesia,64718
Iran,39983
Iraq,9149
Ireland,26122
Israel,85277
Italy,220532
Ivory Coast,1278
Jamaica,1593
Japan,104497
Jordan,21626
Kazakhstan,3001
Kenya,185
Kuwait,6913
Laos,2762
Latvia,11992
Lebanon,600
Libya,4371
Liechtenstein,238
Lithuania,15412
Luxembourg,3073
Macedonia,1402
Madagascar,134
Malawi,188
Malaysia,33406
Maldives,2813
Malta,1353
Marshall Islands,0
Mauritania,168
Mexico,75117
Moldova,6199
Mongolia,9518
Morocco,11358
Mozambique,2068
Myanmar,2938
Namibia,2547
Nepal,8730
Netherlands,70297
New Zealand,23937
Norway,29479
Pakistan,18785
Palestine,3909
Panama,7278
Paraguay,5462
Philippines,37062
Poland,57659
Portugal,62242
Qatar,4187
Russia,177282
Rwanda,2083
Saint Kitts and Nevis,177
Saint Lucia,22
Saint Vincent and the Grenadines,96
Saudi Arabia,5928
Senegal,902
Serbia,19214
Sierra Leone,9
Singapore,26032
Slovakia,20582
Slovenia,23433
South Africa,26976
South Korea,621328
South Sudan,8
Sri Lanka,9962
Suriname,885
Sweden,30983
Switzerland,48332
Taiwan,89361
Thailand,28379
Togo,492
Trinidad and Tobago,1964
Tunisia,9823
Turkey,111157
Uganda,1727
Ukraine,39620
United Arab Emirates,3977
United Kingdom,275647
United States of America,1235521
Uruguay,13612
Vietnam,263376
Zambia,5555
Zimbabwe,6181
