Country_name,Growth Rate
Uganda,1.0304
Costa Rica,1.0052
Finland,1.0009
Sweden,1.0079
Mexico,1.0063
Poland,1.0404
United Kingdom,1.0034
Saudi Arabia,1.0128
Faroe Islands,1.0038
Burkina Faso,1.0259
Rwanda,1.0234
Palestine,1.0227
Tunisia,1.0076
Azerbaijan,1.0044
Slovakia,1.0359
Bangladesh,1.0108
East Timor,1.0154
France,1.0015
Iceland,1.0069
South Africa,1.0084
Senegal,1.0261
Moldova,1.0691
Luxembourg,1.0129
Colombia,1.0069
Ethiopia,1.0257
Malaysia,1.0109
Morocco,1.0103
Bahrain,1.0061
Austria,1.002
Ecuador,1.0114
Bhutan,1.0064
Belgium,1.0038
United Arab Emirates,1.0081
Philippines,1.0147
Norway,1.0058
Malawi,1.0259
Myanmar,1.0071
Laos,1.0141
Kuwait,1.0044
Zambia,1.028
Belize,1.0131
Iran,1.0071
Indonesia,1.0064
Madagascar,1.0241
Panama,1.0132
Sri Lanka,1.0027
Fiji,1.0056
Mozambique,1.0278
Slovenia,1.0002
Singapore,1.0058
Equatorial Guinea,1.0247
Cyprus,1.0059
Qatar,1.0026
Switzerland,1.0056
Brazil,1.0046
Guatemala,1.0134
Dominican Republic,1.01
Turkey,1.0067
El Salvador,1.0035
Mauritania,1.0263
Argentina,1.0052
Namibia,1.0146
Zimbabwe,1.0204
Vietnam,1.0074
Mongolia,1.0151
United States of America,1.0038
India,1.0068
Denmark,1.0048
Australia,1.0099
Canada,1.0078
Bolivia,1.012
Israel,1.0155
Nepal,1.0171
Cambodia,1.0108
South Sudan,1.0153
Haiti,1.012
Paraguay,1.0115
Pakistan,1.0191
Ireland,1.0073
Gabon,1.0204
Ivory Coast,1.0248
Djibouti,1.0138
Sierra Leone,1.022
Taiwan,1.0014
Dominica,1.0045
Bahamas,1.0051
Curaçao,1.0043
New Zealand,1.0108
Iraq,1.0221
Maldives,1.0045
Hungary,1.0265
Kazakhstan,1.0105
Saint Lucia,1.0011
Cape Verde,1.0089
Malta,1.0124
Liechtenstein,1.0074
Togo,1.0236
Netherlands,1.0036
Saint Kitts and Nevis,1.0011
Thailand,1.0013
Ghana,1.0196
Kenya,1.0193
Chile,1.0057
Libya,1.0114
Barbados,1.0015
Jordan,1.0123
Trinidad and Tobago,1.0035
Suriname,1.0082
